dt,c,ma
2012-02-03D19:00:00.000000000,1.58206,1.581093
2012-02-03D19:30:00.000000000,1.58268,1.581622
2012-02-03D20:00:00.000000000,1.58104,1.581428
2012-02-03D20:30:00.000000000,1.58159,1.581482
2012-02-03D21:00:00.000000000,1.58181,1.581591
2012-02-03D21:30:00.000000000,1.58033,1.581171
2012-02-05D22:00:00.000000000,1.58142,1.581254
2012-02-05D22:30:00.000000000,1.58192,1.581476
2012-02-05D23:00:00.000000000,1.5802,1.581051
2012-02-05D23:30:00.000000000,1.5799,1.580667
2012-02-06D00:00:00.000000000,1.57949,1.580275
2012-02-06D00:30:00.000000000,1.57971,1.580086
2012-02-06D01:00:00.000000000,1.58038,1.580184
2012-02-06D01:30:00.000000000,1.57974,1.580036
2012-02-06D02:00:00.000000000,1.57836,1.579477
2012-02-06D02:30:00.000000000,1.57762,1.578858
2012-02-06D03:00:00.000000000,1.57778,1.578499
2012-02-06D03:30:00.000000000,1.57801,1.578336
2012-02-06D04:00:00.000000000,1.57798,1.578217
2012-02-06D04:30:00.000000000,1.57731,1.577915
2012-02-06D05:00:00.000000000,1.57749,1.577773
2012-02-06D05:30:00.000000000,1.57757,1.577705
2012-02-06D06:00:00.000000000,1.57656,1.577324
2012-02-06D06:30:00.000000000,1.57786,1.577502
2012-02-06D07:00:00.000000000,1.57723,1.577412
2012-02-06D07:30:00.000000000,1.57772,1.577514
2012-02-06D08:00:00.000000000,1.57698,1.577336
2012-02-06D08:30:00.000000000,1.57583,1.576834
2012-02-06D09:00:00.000000000,1.57361,1.575759
2012-02-06D09:30:00.000000000,1.5739,1.57514
2012-02-06D10:00:00.000000000,1.57401,1.574763
2012-02-06D10:30:00.000000000,1.57374,1.574422
2012-02-06D11:00:00.000000000,1.57479,1.574545
2012-02-06D11:30:00.000000000,1.57654,1.57521
2012-02-06D12:00:00.000000000,1.57667,1.575697
2012-02-06D12:30:00.000000000,1.57612,1.575838
2012-02-06D13:00:00.000000000,1.57551,1.575728
2012-02-06D13:30:00.000000000,1.57592,1.575792
2012-02-06D14:00:00.000000000,1.57793,1.576505
2012-02-06D14:30:00.000000000,1.57714,1.576717
2012-02-06D15:00:00.000000000,1.57903,1.577488
2012-02-06D15:30:00.000000000,1.57944,1.578138
2012-02-06D16:00:00.000000000,1.58185,1.579376
2012-02-06D16:30:00.000000000,1.58296,1.58057
2012-02-06D17:00:00.000000000,1.58274,1.581294
2012-02-06D17:30:00.000000000,1.58205,1.581546
2012-02-06D18:00:00.000000000,1.58216,1.58175
2012-02-06D18:30:00.000000000,1.58189,1.581797
2012-02-06D19:00:00.000000000,1.58198,1.581858
2012-02-06D19:30:00.000000000,1.58276,1.582159
2012-02-06D20:00:00.000000000,1.583,1.582439
2012-02-06D20:30:00.000000000,1.58295,1.582609
2012-02-06D21:00:00.000000000,1.5822,1.582473
2012-02-06D21:30:00.000000000,1.58182,1.582255
2012-02-06D22:00:00.000000000,1.58167,1.58206
2012-02-06D22:30:00.000000000,1.58181,1.581977
2012-02-06D23:00:00.000000000,1.58136,1.581771
2012-02-06D23:30:00.000000000,1.58104,1.581527
2012-02-07D00:00:00.000000000,1.58189,1.581648
2012-02-07D00:30:00.000000000,1.58188,1.581726
2012-02-07D01:00:00.000000000,1.58184,1.581764
2012-02-07D01:30:00.000000000,1.58167,1.581732
2012-02-07D02:00:00.000000000,1.58179,1.581752
2012-02-07D02:30:00.000000000,1.58096,1.581488
2012-02-07D03:00:00.000000000,1.58061,1.581195
2012-02-07D03:30:00.000000000,1.58055,1.58098
2012-02-07D04:00:00.000000000,1.58004,1.580667
2012-02-07D04:30:00.000000000,1.58037,1.580568
2012-02-07D05:00:00.000000000,1.58043,1.580522
2012-02-07D05:30:00.000000000,1.58017,1.580405
2012-02-07D06:00:00.000000000,1.58037,1.580393
2012-02-07D06:30:00.000000000,1.57937,1.580052
2012-02-07D07:00:00.000000000,1.58149,1.580531
2012-02-07D07:30:00.000000000,1.5813,1.580788
2012-02-07D08:00:00.000000000,1.58173,1.581102
2012-02-07D08:30:00.000000000,1.58122,1.581141
2012-02-07D09:00:00.000000000,1.58122,1.581167
2012-02-07D09:30:00.000000000,1.58281,1.581715
2012-02-07D10:00:00.000000000,1.58123,1.581553
2012-02-07D10:30:00.000000000,1.5812,1.581436
2012-02-07D11:00:00.000000000,1.58134,1.581404
2012-02-07D11:30:00.000000000,1.58142,1.581409
2012-02-07D12:00:00.000000000,1.57979,1.580869
2012-02-07D12:30:00.000000000,1.58043,1.580723
2012-02-07D13:00:00.000000000,1.57954,1.580329
2012-02-07D13:30:00.000000000,1.58256,1.581072
2012-02-07D14:00:00.000000000,1.58346,1.581868
2012-02-07D14:30:00.000000000,1.58252,1.582086
2012-02-07D15:00:00.000000000,1.58296,1.582377
2012-02-07D15:30:00.000000000,1.58704,1.583931
2012-02-07D16:00:00.000000000,1.58931,1.585724
2012-02-07D16:30:00.000000000,1.58891,1.586786
2012-02-07D17:00:00.000000000,1.58895,1.587507
2012-02-07D17:30:00.000000000,1.5898,1.588272
2012-02-07D18:00:00.000000000,1.58852,1.588354
2012-02-07D18:30:00.000000000,1.58874,1.588483
2012-02-07D19:00:00.000000000,1.58837,1.588445
2012-02-07D19:30:00.000000000,1.5894,1.588764
2012-02-07D20:00:00.000000000,1.58985,1.589126
2012-02-07D20:30:00.000000000,1.58999,1.589414
2012-02-07D21:00:00.000000000,1.59013,1.589653
2012-02-07D21:30:00.000000000,1.58955,1.589618
2012-02-07D22:00:00.000000000,1.58961,1.589616
2012-02-07D22:30:00.000000000,1.59006,1.589764
2012-02-07D23:00:00.000000000,1.5891,1.589542
2012-02-07D23:30:00.000000000,1.5891,1.589395
2012-02-08D00:00:00.000000000,1.58934,1.589377
2012-02-08D00:30:00.000000000,1.58943,1.589394
2012-02-08D01:00:00.000000000,1.58887,1.58922
2012-02-08D01:30:00.000000000,1.58887,1.589103
2012-02-08D02:00:00.000000000,1.58926,1.589155
2012-02-08D02:30:00.000000000,1.58983,1.58938
2012-02-08D03:00:00.000000000,1.5899,1.589554
2012-02-08D03:30:00.000000000,1.58936,1.589489
2012-02-08D04:00:00.000000000,1.58944,1.589473
2012-02-08D04:30:00.000000000,1.58947,1.589472
2012-02-08D05:00:00.000000000,1.59026,1.589735
2012-02-08D05:30:00.000000000,1.59055,1.590006
2012-02-08D06:00:00.000000000,1.59149,1.590501
2012-02-08D06:30:00.000000000,1.5903,1.590434
2012-02-08D07:00:00.000000000,1.59072,1.590529
2012-02-08D07:30:00.000000000,1.59117,1.590743
2012-02-08D08:00:00.000000000,1.5922,1.591229
2012-02-08D08:30:00.000000000,1.59163,1.591362
2012-02-08D09:00:00.000000000,1.59145,1.591392
2012-02-08D09:30:00.000000000,1.59096,1.591248
2012-02-08D10:00:00.000000000,1.59047,1.590988
2012-02-08D10:30:00.000000000,1.58773,1.589902
2012-02-08D11:00:00.000000000,1.58802,1.589275
2012-02-08D11:30:00.000000000,1.58771,1.588753
2012-02-08D12:00:00.000000000,1.58941,1.588972
2012-02-08D12:30:00.000000000,1.59001,1.589318
2012-02-08D13:00:00.000000000,1.59012,1.589585
2012-02-08D13:30:00.000000000,1.58858,1.58925
2012-02-08D14:00:00.000000000,1.58685,1.58845
2012-02-08D14:30:00.000000000,1.58634,1.587747
2012-02-08D15:00:00.000000000,1.58425,1.586581
2012-02-08D15:30:00.000000000,1.58236,1.585174
2012-02-08D16:00:00.000000000,1.58102,1.583789
2012-02-08D16:30:00.000000000,1.58184,1.58314
2012-02-08D17:00:00.000000000,1.5824,1.582893
2012-02-08D17:30:00.000000000,1.58282,1.582869
2012-02-08D18:00:00.000000000,1.58312,1.582952
2012-02-08D18:30:00.000000000,1.58229,1.582732
2012-02-08D19:00:00.000000000,1.58234,1.582601
2012-02-08D19:30:00.000000000,1.58154,1.582247
2012-02-08D20:00:00.000000000,1.58227,1.582255
2012-02-08D20:30:00.000000000,1.58185,1.58212
2012-02-08D21:00:00.000000000,1.58147,1.581903
2012-02-08D21:30:00.000000000,1.58163,1.581812
2012-02-08D22:00:00.000000000,1.58162,1.581748
2012-02-08D22:30:00.000000000,1.58125,1.581582
2012-02-08D23:00:00.000000000,1.58112,1.581428
2012-02-08D23:30:00.000000000,1.58088,1.581245
2012-02-09D00:00:00.000000000,1.58054,1.58101
2012-02-09D00:30:00.000000000,1.58009,1.580703
2012-02-09D01:00:00.000000000,1.57995,1.580452
2012-02-09D01:30:00.000000000,1.5804,1.580435
2012-02-09D02:00:00.000000000,1.58098,1.580617
2012-02-09D02:30:00.000000000,1.58126,1.580831
2012-02-09D03:00:00.000000000,1.58133,1.580997
2012-02-09D03:30:00.000000000,1.58103,1.581008
2012-02-09D04:00:00.000000000,1.58162,1.581212
2012-02-09D04:30:00.000000000,1.58244,1.581621
2012-02-09D05:00:00.000000000,1.58264,1.581961
2012-02-09D05:30:00.000000000,1.58272,1.582214
2012-02-09D06:00:00.000000000,1.58366,1.582696
2012-02-09D06:30:00.000000000,1.58374,1.583044
2012-02-09D07:00:00.000000000,1.58423,1.583439
2012-02-09D07:30:00.000000000,1.58339,1.583423
2012-02-09D08:00:00.000000000,1.5844,1.583749
2012-02-09D08:30:00.000000000,1.58396,1.583819
2012-02-09D09:00:00.000000000,1.58394,1.583859
2012-02-09D09:30:00.000000000,1.58421,1.583976
2012-02-09D10:00:00.000000000,1.58375,1.583901
2012-02-09D10:30:00.000000000,1.58404,1.583947
2012-02-09D11:00:00.000000000,1.58387,1.583921
2012-02-09D11:30:00.000000000,1.58279,1.583544
2012-02-09D12:00:00.000000000,1.58756,1.584883
2012-02-09D12:30:00.000000000,1.58549,1.585085
2012-02-09D13:00:00.000000000,1.58599,1.585387
2012-02-09D13:30:00.000000000,1.58516,1.585311
2012-02-09D14:00:00.000000000,1.58675,1.585791
2012-02-09D14:30:00.000000000,1.5861,1.585894
2012-02-09D15:00:00.000000000,1.58311,1.584966
2012-02-09D15:30:00.000000000,1.58418,1.584704
2012-02-09D16:00:00.000000000,1.58457,1.584659
2012-02-09D16:30:00.000000000,1.58369,1.584336
2012-02-09D17:00:00.000000000,1.58332,1.583997
2012-02-09D17:30:00.000000000,1.58333,1.583775
2012-02-09D18:00:00.000000000,1.58299,1.583513
2012-02-09D18:30:00.000000000,1.58195,1.582992
2012-02-09D19:00:00.000000000,1.58235,1.582778
2012-02-09D19:30:00.000000000,1.58254,1.582699
2012-02-09D20:00:00.000000000,1.58215,1.582516
2012-02-09D20:30:00.000000000,1.58158,1.582204
2012-02-09D21:00:00.000000000,1.5818,1.582069
2012-02-09D21:30:00.000000000,1.58173,1.581956
2012-02-09D22:00:00.000000000,1.5816,1.581837
2012-02-09D22:30:00.000000000,1.58148,1.581718
2012-02-09D23:00:00.000000000,1.58061,1.581349
2012-02-09D23:30:00.000000000,1.58115,1.581283
2012-02-10D00:00:00.000000000,1.58097,1.581178
2012-02-10D00:30:00.000000000,1.58131,1.581222
2012-02-10D01:00:00.000000000,1.58076,1.581068
2012-02-10D01:30:00.000000000,1.58027,1.580802
2012-02-10D02:00:00.000000000,1.5806,1.580735
2012-02-10D02:30:00.000000000,1.58032,1.580596
2012-02-10D03:00:00.000000000,1.58039,1.580528
2012-02-10D03:30:00.000000000,1.57951,1.580188
2012-02-10D04:00:00.000000000,1.5799,1.580092
2012-02-10D04:30:00.000000000,1.57949,1.579892
2012-02-10D05:00:00.000000000,1.57894,1.579574
2012-02-10D05:30:00.000000000,1.57874,1.579296
2012-02-10D06:00:00.000000000,1.57873,1.579107
2012-02-10D06:30:00.000000000,1.57861,1.578942
2012-02-10D07:00:00.000000000,1.57772,1.578534
2012-02-10D07:30:00.000000000,1.57885,1.57864
2012-02-10D08:00:00.000000000,1.57998,1.579086
2012-02-10D08:30:00.000000000,1.58108,1.579751
2012-02-10D09:00:00.000000000,1.58163,1.580377
2012-02-10D09:30:00.000000000,1.58369,1.581482
2012-02-10D10:00:00.000000000,1.58229,1.581751
2012-02-10D10:30:00.000000000,1.58336,1.582287
2012-02-10D11:00:00.000000000,1.58312,1.582565
2012-02-10D11:30:00.000000000,1.58255,1.58256
2012-02-10D12:00:00.000000000,1.57935,1.58149
2012-02-10D12:30:00.000000000,1.57812,1.580367
2012-02-10D13:00:00.000000000,1.57624,1.578991
2012-02-10D13:30:00.000000000,1.57725,1.578411
2012-02-10D14:00:00.000000000,1.57636,1.577727
2012-02-10D14:30:00.000000000,1.57579,1.577081
2012-02-10D15:00:00.000000000,1.57599,1.576718
2012-02-10D15:30:00.000000000,1.57507,1.576168
2012-02-10D16:00:00.000000000,1.57511,1.575816
2012-02-10D16:30:00.000000000,1.57471,1.575447
2012-02-10D17:00:00.000000000,1.57463,1.575175
2012-02-10D17:30:00.000000000,1.57451,1.574953
2012-02-10D18:00:00.000000000,1.57435,1.574752
2012-02-10D18:30:00.000000000,1.57303,1.574178
2012-02-10D19:00:00.000000000,1.57409,1.574149
2012-02-10D19:30:00.000000000,1.57391,1.574069
2012-02-10D20:00:00.000000000,1.57371,1.573949
2012-02-10D20:30:00.000000000,1.57345,1.573783
2012-02-10D21:00:00.000000000,1.57423,1.573932
2012-02-10D21:30:00.000000000,1.57761,1.575158
2012-02-12D22:00:00.000000000,1.57865,1.576322
2012-02-12D22:30:00.000000000,1.57918,1.577275
2012-02-12D23:00:00.000000000,1.57807,1.57754
2012-02-12D23:30:00.000000000,1.57766,1.57758
2012-02-13D00:00:00.000000000,1.57738,1.577513
2012-02-13D00:30:00.000000000,1.57658,1.577202
2012-02-13D01:00:00.000000000,1.57638,1.576928
2012-02-13D01:30:00.000000000,1.57765,1.577169
2012-02-13D02:00:00.000000000,1.57811,1.577482
2012-02-13D02:30:00.000000000,1.57768,1.577548
2012-02-13D03:00:00.000000000,1.57842,1.577839
2012-02-13D03:30:00.000000000,1.57908,1.578253
2012-02-13D04:00:00.000000000,1.57848,1.578328
2012-02-13D04:30:00.000000000,1.57902,1.578559
2012-02-13D05:00:00.000000000,1.57917,1.578763
2012-02-13D05:30:00.000000000,1.57862,1.578715
2012-02-13D06:00:00.000000000,1.57865,1.578693
2012-02-13D06:30:00.000000000,1.57824,1.578542
2012-02-13D07:00:00.000000000,1.57933,1.578805
2012-02-13D07:30:00.000000000,1.57866,1.578757
2012-02-13D08:00:00.000000000,1.58188,1.579798
2012-02-13D08:30:00.000000000,1.58173,1.580442
2012-02-13D09:00:00.000000000,1.58059,1.580491
2012-02-13D09:30:00.000000000,1.57929,1.580091
2012-02-13D10:00:00.000000000,1.57951,1.579897
2012-02-13D10:30:00.000000000,1.58144,1.580411
2012-02-13D11:00:00.000000000,1.58124,1.580688
2012-02-13D11:30:00.000000000,1.57968,1.580352
2012-02-13D12:00:00.000000000,1.58053,1.580411
2012-02-13D12:30:00.000000000,1.58005,1.580291
2012-02-13D13:00:00.000000000,1.58035,1.580311
2012-02-13D13:30:00.000000000,1.58015,1.580257
2012-02-13D14:00:00.000000000,1.58012,1.580211
2012-02-13D14:30:00.000000000,1.57928,1.579901
2012-02-13D15:00:00.000000000,1.57799,1.579264
2012-02-13D15:30:00.000000000,1.57903,1.579186
2012-02-13D16:00:00.000000000,1.57782,1.578731
2012-02-13D16:30:00.000000000,1.57786,1.57844
2012-02-13D17:00:00.000000000,1.57725,1.578044
2012-02-13D17:30:00.000000000,1.57791,1.577999
2012-02-13D18:00:00.000000000,1.57786,1.577953
2012-02-13D18:30:00.000000000,1.57752,1.577808
2012-02-13D19:00:00.000000000,1.57768,1.577766
2012-02-13D19:30:00.000000000,1.57736,1.57763
2012-02-13D20:00:00.000000000,1.57725,1.577504
2012-02-13D20:30:00.000000000,1.57692,1.577309
2012-02-13D21:00:00.000000000,1.57666,1.577093
2012-02-13D21:30:00.000000000,1.57653,1.576905
2012-02-13D22:00:00.000000000,1.57649,1.576767
2012-02-13D22:30:00.000000000,1.57514,1.576225
2012-02-13D23:00:00.000000000,1.57247,1.574973
2012-02-13D23:30:00.000000000,1.57217,1.574039
2012-02-14D00:00:00.000000000,1.57243,1.573502
2012-02-14D00:30:00.000000000,1.57317,1.573392
2012-02-14D01:00:00.000000000,1.57147,1.572751
2012-02-14D01:30:00.000000000,1.57154,1.572347
2012-02-14D02:00:00.000000000,1.57121,1.571968
2012-02-14D02:30:00.000000000,1.57111,1.571682
2012-02-14D03:00:00.000000000,1.57056,1.571308
2012-02-14D03:30:00.000000000,1.57051,1.571042
2012-02-14D04:00:00.000000000,1.57192,1.571335
2012-02-14D04:30:00.000000000,1.57038,1.571016
2012-02-14D05:00:00.000000000,1.57068,1.570904
2012-02-14D05:30:00.000000000,1.571,1.570936
2012-02-14D06:00:00.000000000,1.56911,1.570327
2012-02-14D06:30:00.000000000,1.57081,1.570488
2012-02-14D07:00:00.000000000,1.57152,1.570832
2012-02-14D07:30:00.000000000,1.57191,1.571191
2012-02-14D08:00:00.000000000,1.5722,1.571528
2012-02-14D08:30:00.000000000,1.57311,1.572055
2012-02-14D09:00:00.000000000,1.57368,1.572597
2012-02-14D09:30:00.000000000,1.57352,1.572904
2012-02-14D10:00:00.000000000,1.57661,1.57414
2012-02-14D10:30:00.000000000,1.57576,1.57468
2012-02-14D11:00:00.000000000,1.57518,1.574847
2012-02-14D11:30:00.000000000,1.5744,1.574698
2012-02-14D12:00:00.000000000,1.57378,1.574392
2012-02-14D12:30:00.000000000,1.57204,1.573608
2012-02-14D13:00:00.000000000,1.57204,1.573085
2012-02-14D13:30:00.000000000,1.57008,1.572083
2012-02-14D14:00:00.000000000,1.57048,1.571549
2012-02-14D14:30:00.000000000,1.5695,1.570866
2012-02-14D15:00:00.000000000,1.56775,1.569827
2012-02-14D15:30:00.000000000,1.56688,1.568845
2012-02-14D16:00:00.000000000,1.56779,1.568493
2012-02-14D16:30:00.000000000,1.56891,1.568632
2012-02-14D17:00:00.000000000,1.56934,1.568868
2012-02-14D17:30:00.000000000,1.56754,1.568425
2012-02-14D18:00:00.000000000,1.56728,1.568044
2012-02-14D18:30:00.000000000,1.56775,1.567946
2012-02-14D19:00:00.000000000,1.56549,1.567127
2012-02-14D19:30:00.000000000,1.56595,1.566735
2012-02-14D20:00:00.000000000,1.56544,1.566303
2012-02-14D20:30:00.000000000,1.56849,1.567032
2012-02-14D21:00:00.000000000,1.56836,1.567475
2012-02-14D21:30:00.000000000,1.56928,1.568076
2012-02-14D22:00:00.000000000,1.56878,1.568311
2012-02-14D22:30:00.000000000,1.56897,1.568531
2012-02-14D23:00:00.000000000,1.56872,1.568594
2012-02-14D23:30:00.000000000,1.56882,1.568669
2012-02-15D00:00:00.000000000,1.56832,1.568553
2012-02-15D00:30:00.000000000,1.56845,1.568519
2012-02-15D01:00:00.000000000,1.56853,1.568522
2012-02-15D01:30:00.000000000,1.56781,1.568285
2012-02-15D02:00:00.000000000,1.57048,1.569017
2012-02-15D02:30:00.000000000,1.57121,1.569748
2012-02-15D03:00:00.000000000,1.57119,1.570228
2012-02-15D03:30:00.000000000,1.57193,1.570796
2012-02-15D04:00:00.000000000,1.57158,1.571057
2012-02-15D04:30:00.000000000,1.57199,1.571368
2012-02-15D05:00:00.000000000,1.57224,1.571659
2012-02-15D05:30:00.000000000,1.57308,1.572132
2012-02-15D06:00:00.000000000,1.57262,1.572295
2012-02-15D06:30:00.000000000,1.57219,1.57226
2012-02-15D07:00:00.000000000,1.57329,1.572603
2012-02-15D07:30:00.000000000,1.57156,1.572256
2012-02-15D08:00:00.000000000,1.57043,1.571647
2012-02-15D08:30:00.000000000,1.56792,1.570405
2012-02-15D09:00:00.000000000,1.56883,1.56988
2012-02-15D09:30:00.000000000,1.56848,1.569413
2012-02-15D10:00:00.000000000,1.56846,1.569095
2012-02-15D10:30:00.000000000,1.56959,1.56926
2012-02-15D11:00:00.000000000,1.57091,1.56981
2012-02-15D11:30:00.000000000,1.57041,1.57001
2012-02-15D12:00:00.000000000,1.57095,1.570323
2012-02-15D12:30:00.000000000,1.57147,1.570706
2012-02-15D13:00:00.000000000,1.5699,1.570437
2012-02-15D13:30:00.000000000,1.56961,1.570161
2012-02-15D14:00:00.000000000,1.57078,1.570368
2012-02-15D14:30:00.000000000,1.56929,1.570008
2012-02-15D15:00:00.000000000,1.56844,1.569486
2012-02-15D15:30:00.000000000,1.56931,1.569427
2012-02-15D16:00:00.000000000,1.56957,1.569475
2012-02-15D16:30:00.000000000,1.57078,1.56991
2012-02-15D17:00:00.000000000,1.5705,1.570107
2012-02-15D17:30:00.000000000,1.57012,1.570111
2012-02-15D18:00:00.000000000,1.57004,1.570087
2012-02-15D18:30:00.000000000,1.57071,1.570295
